Metadata_pert_iname	Metadata_clinical_phase	Metadata_moa	Metadata_target	Metadata_disease_area	Metadata_indication
ethyl-pyruvate	Phase 2	tumor necrosis factor production inhibitor	HMGB1|TNF		
felodipine	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CALM1|CFTR|NR3C2|PDE1A|PDE1B|TNNC1|TNNC2	cardiology	hypertension
FERb-033	Preclinical	EGFR inhibitor	ERBB2		
filgotinib	Phase 2	JAK inhibitor	JAK1|JAK2|JAK3|TYK2		
FK-866	Phase 2	niacinamide phosphoribosyltransferase inhibitor	NAMPT		
flindokalner	Phase 3	potassium channel agonist	KCNMA1|KCNN4|KCNQ2|KCNQ4|KCNQ5		
fludarabine	Launched	ribonucleotide reductase inhibitor	ADA|RRM1|RRM2	hematologic malignancy	chronic lymphocytic leukemia (CLL)
fludarabine-phosphate	Launched	ribonucleotide reductase inhibitor	DCK|POLA1|POLD1|POLE|RRM1|RRM2|RRM2B	hematologic malignancy	chronic lymphocytic leukemia (CLL)
flufenamic-acid	Preclinical	chloride channel blocker	AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5		
flupirtine	Launched	glutamate receptor antagonist	ADRA2A|KCNQ1|KCNQ2	neurology/psychiatry	pain relief
fomepizole	Launched	alcohol dehydrogenase inhibitor	ADH1A|ADH1B|ADH1C|AKR1A1|CAT	critical care	poison antidote
formononetin	Preclinical	alcohol dehydrogenase inhibitor	ADH1C|SLC5A2		
FPS-ZM1	Preclinical	RAGE receptor antagonist	AGER		
gabapentin-enacarbil	Launched	adrenergic receptor agonist	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8	neurology/psychiatry	restless leg syndrome|postherpetic neuralgia
ganetespib	Phase 3	HSP inhibitor	HSP90AA1		
geldanamycin	Preclinical	HSP inhibitor	HSP90AA1|HSP90AB1		
GK921	Preclinical	transglutaminase inhibitor	TGM2		
glutamine-(l)	Launched		CTPS1|GLUL|GPRC6A|PPAT	gastroenterology|dental|neurology/psychiatry|rheumatology	diarrhea|mucositis|muscle pain|joint pain|peptic ulcer disease (PUD)|ulcerative colitis|Crohn's disease|anxiety|insomnia
glyburide	Launched	ATP channel blocker|insulin secretagogue|sulfonylurea	ABCA1|ABCB11|ABCC8|ABCC9|CFTR|CPT1A|KCNJ1|KCNJ11|KCNJ5|KCNJ8|SLCO2B1	endocrinology	diabetes mellitus|hyperglycemia
GNF-5	Preclinical	Bcr-Abl kinase inhibitor	ABL1|BCR		
GNF-5837	Preclinical	growth factor receptor inhibitor	NTRK1|NTRK2|NTRK3		
GSK-37647	Preclinical	free fatty acid receptor agonist	FFAR4		
GSK1070916	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|AURKC|CYP2D6|CYP3A4		
GSK2110183	Phase 2	AKT inhibitor	AKT1|AKT2|AKT3		
GSK3787	Preclinical	PPAR receptor antagonist	PPARD		
guanidine	Launched	HSP inhibitor	ALDH2|DLG4|GAMT|RNASE1	neurology/psychiatry	Lambert-Eaton myasthenic syndrome (LEMS)
GW-311616	Phase 1	leukocyte elastase inhibitor|elastase inhibitor	ELANE		
halopemide	Phase 2	phospholipase inhibitor	PLD1|PLD2		
hexestrol	Launched	synthetic estrogen	AKR1C1|ESR1|ESR2		
homoharringtonine	Launched	protein synthesis inhibitor	RPL3	hematologic malignancy	chronic myeloid leukemia (CML)
H2L-5765834	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1|LPAR3		
ibudilast	Launched	leukotriene receptor antagonist|phosphodiesterase inhibitor	IL1B|IL6|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A	pulmonary|neurology/psychiatry	asthma|stroke
ibutamoren	Phase 2	growth hormone secretagogue receptor agonist	GHR|GHSR		
ibutilide	Launched	potassium channel blocker	CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6	cardiology	atrial fibrillation (AF)
ilomastat	Phase 3	matrix metalloprotease inhibitor	ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9		
ingenol-mebutate	Launched	PKC activator	PRKCA|PRKCB|PRKCD|PRKCE|PRKCG	dermatology	actinic keratosis (AK)
IRL-2500	Preclinical	endothelin receptor antagonist	EDNRB		
isoflurane	Launched	inhaled anaesthetic	ATP2C1|ATP5D|CALM1|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9	neurology/psychiatry	general anaesthetic
IWP-L6	Preclinical	porcupine inhibitor	PORCN		
ixabepilone	Launched	microtubule stabilizing agent	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	oncology	breast cancer
JTE-013	Preclinical	lysophospholipid receptor antagonist	P2RY10|S1PR2		
JTE-607	Phase 2	cytokine production inhibitor	IL10|IL1B|IL6|TNF		
KG-5	Preclinical	RAF inhibitor	BRAF|FLT3|KIT|PDGFRB		
KH-CB19	Preclinical	CDC inhibitor	CLK1|CLK3|DYRK1A		
KI-16425	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1|LPAR3		
KU-55933	Preclinical	ATM kinase inhibitor	ATM|PRKDC		
KU-60019	Preclinical	ATM kinase inhibitor	ATM		
L-Cystine	Launched		CTNS|SLC3A1|SLC7A11|SLC7A9		
L-proline	Launched	glutamate receptor agonist	EPRS|L3HYPDH|P3H1|P3H2|P3H3|P4HA1|P4HA2|PARS2|PPIA|PPIB|PPIC|PPIF|PPIG|PPIH|PRODH|PROSC|PYCR1|PYCR2|PYCRL|SLC6A14|SLC6A7		
LDN-212854	Preclinical	bone morphogenic protein inhibitor	ABL1|ACVR1|RIPK2		
LDN-27219	Preclinical	tissue transglutaminase inhibitor	TGM2		
leflunomide	Launched	dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	AHR|DHODH|PTK2B	rheumatology	rheumatoid arthritis
lercanidipine	Launched	calcium channel blocker	CACNA2D1|CACNG1	cardiology	hypertension
LGK-974	Phase 2	porcupine inhibitor	PORCN		
lonafarnib	Phase 3	farnesyltransferase inhibitor	FNTA|HRAS|KRAS|NRAS		
loperamide	Launched	opioid receptor agonist	CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC	gastroenterology	diarrhea
LOXO-101	Phase 2	tropomyosin receptor kinase inhibitor	NTRK1|NTRK2|NTRK3		
LY2109761	Preclinical	TGF beta receptor inhibitor	TGFBR1|TGFBR2		
M-25	Preclinical	smoothened receptor antagonist	DHH|IHH|SMO		
MCOPPB	Preclinical	nociceptin/orphanin FQ (NOP) receptor agonist	OPRL1		
ME-0328	Preclinical	PPAR receptor antagonist	PARP3		
meclofenamic-acid	Launched	cyclooxygenase inhibitor|prostanoid receptor antagonist	ALOX5|CNR1|KCNQ2|KCNQ3|PTGS1|PTGS2	rheumatology|neurology/psychiatry|endocrinology	joint pain|muscle pain|rheumatoid arthritis|primary dysmenorrhea (PD)
menadione	Launched	mitochondrial DNA polymerase inhibitor|phosphatase inhibitor	AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1	gastroenterology|neurology/psychiatry|dermatology|rheumatology	ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis
methoxsalen	Launched	DNA synthesis inhibitor	CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4	dermatology	psoriasis
miconazole	Launched	bacterial cell wall synthesis inhibitor	KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5	infectious disease|neurology/psychiatry	yeast infection|itching
miglitol	Launched	glucosidase inhibitor	GAA|GANAB|GANC|MGAM	endocrinology	diabetes mellitus
minocycline	Launched	bacterial 30S ribosomal subunit inhibitor	ALOX5|CASP1|CASP3|CYCS|IL1B|MMP9|VEGFA	endocrinology|infectious disease|ophthalmology|urology	fever|respiratory tract infections|psittacosis|trachoma|conjunctivitis|urethritis|chancroid|tularemia|cholera|brucellosis
misoprostol	Launched	prostanoid receptor agonist	PTGER2|PTGER3|PTGER4|PTGIR	gastroenterology	duodenal ulcer disease
ML-193	Preclinical	G protein-coupled receptor antagonist	GPR55		
ML-228	Preclinical	hypoxia inducible factor activator	HIF1A		
ML-323	Preclinical	ubiquitin specific protease inhibitor	USP1		
motesanib	Phase 3	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	FLT1|FLT4|KDR|KIT		
N-alpha-Methylhistamine-dihydrochloride	Phase 3	histamine receptor agonist	HRH4		
nafamostat	Launched	serine protease inhibitor	ASIC1|ASIC2|ASIC3|C1R|PRSS1|TPSAB1|TRPM7		
nalmefene	Launched	opioid receptor antagonist	OPRD1|OPRK1|OPRM1	pulmonary	respiratory depression
NBQX	Preclinical	glutamate receptor antagonist	GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIN1|GRIN2A|GRIN2B		
nevirapine	Launched	non-nucleoside reverse transcriptase inhibitor	CYP1A2|CYP2A6|CYP2B6|CYP2C9|CYP2D6|CYP3A4|CYP3A5	infectious disease	human immunodeficiency virus (HIV-1)
nialamide	Withdrawn	monoamine oxidase inhibitor	COMT|MAOA|MAOB		
nicotine	Launched	acetylcholine receptor agonist	CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1	neurology/psychiatry	smoking cessation
niflumic-acid	Launched	cyclooxygenase inhibitor	ANO1|CLCN1|CLCNKA|CLCNKB|KCNQ1|PLA2G1B|PLA2G4A|PTGS1|PTGS2|UGT1A9	rheumatology|neurology/psychiatry	joint pain|muscle pain
nilvadipine	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2	cardiology	hypertension|cerebral artery occlusion
nimodipine	Launched	calcium channel blocker	AHR|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CFTR|NR3C2	hematology	hemorrhage
NNC-55-0396	Preclinical	T-type calcium channel blocker	CATSPER1|CATSPER2|CATSPER3|CATSPER4		
NQDI-1	Preclinical	caspase inhibitor	CASP3		
NS-11021	Preclinical	calcium-activated potassium channel activator	KCNMA1		
NS-309	Preclinical	calcium-activated potassium channel activator	KCNN1|KCNN2|KCNN3|KCNN4		
NSC-625987	Preclinical	CDK inhibitor	CDK2|CDK4		
NSC-632839	Preclinical	ubiquitin specific protease inhibitor	SENP2|USP1|USP2|USP7		
NSC-663284	Preclinical	CDC inhibitor	CDC25A|CDC25B|CDC25C		
NSC-95397	Preclinical	CDC inhibitor	CDC25A|CDC25B		
NVP-ADW742	Preclinical	insulin growth factor receptor inhibitor	IGF1R		
NVP-AEW541	Preclinical	IGF-1 inhibitor	IGF1R|INSR		
NVP-HSP990	Phase 1	HSP inhibitor	HSP90AA1|HSP90AB1		
NVS-PAK1-1	Preclinical	p21 activated kinase inhibitor	PAK1		
N6-cyclopentyladenosine	Preclinical	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|SLC29A1		
octreotide	Launched	somatostatin receptor agonist	SSTR1|SSTR2|SSTR3|SSTR5	gastroenterology|endocrinology|oncology	diarrhea|acromegaly|carcinoid tumors
olanzapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7	neurology/psychiatry	schizophrenia|bipolar disorder
olopatadine	Launched	histamine receptor antagonist	HRH1|S100A1|S100A12|S100A13|S100A2|S100B	ophthalmology	conjunctivitis
OMDM-2	Preclinical	FAAH inhibitor	GPR119		
orantinib	Phase 3	FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	AURKA|AURKB|EGFR|FGFR1|FGFR2|KDR|PDGFRA|PDGFRB		
oxibendazole	Launched	tubulin polymerization inhibitor	TUBB|TUBB4B	infectious disease	strongyles
oxytocin	Launched	oxytocin receptor agonist	AVPR1A|AVPR1B|AVPR2|OXTR	obstetrics/gynecology	labor induction
ozagrel	Launched	thromboxane synthase inhibitor	TBXAS1	neurology/psychiatry	stroke
ozanimod	Phase 3	sphingosine 1 phosphate receptor agonist	S1PR1		
paliperidone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CYP2D6|CYP3A4|CYP3A5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1D|HTR2A|HTR2C	neurology/psychiatry	schizophrenia
